epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.097,1.64334,2.2491,1.47071,0.24091,0.25339,0.15399,0.04518,2.38867,2.55166,1.98369,0.000551221,0.000551221,0.000551221
2,415.473,1.37261,1.51083,1.29839,0.16418,0.21341,0.10073,0.02856,2.61727,2.88346,2.12541,0.00107558,0.00107558,0.00107558
3,616.456,1.36551,1.41116,1.28607,0.126,0.15478,0.06769,0.02001,2.59155,3.14396,2.25954,0.0015685,0.0015685,0.0015685
4,817.84,1.31902,1.32711,1.26719,0.29344,0.30131,0.21388,0.07146,2.34885,2.32542,1.94096,0.00152554,0.00152554,0.00152554
5,1019.75,1.2628,1.24507,1.24592,0.22319,0.2232,0.13231,0.03998,2.52546,2.728,2.0886,0.00147839,0.00147839,0.00147839
6,1221.93,1.2368,1.19024,1.22607,0.26959,0.25515,0.17408,0.05392,2.35318,2.40779,1.93838,0.00143124,0.00143124,0.00143124
7,1427.4,1.20805,1.15538,1.21696,0.3406,0.34045,0.26255,0.08304,2.30927,2.18777,1.88982,0.00138409,0.00138409,0.00138409
8,1631.33,1.18013,1.11192,1.199,0.34203,0.34882,0.27349,0.09392,2.25035,2.12764,1.84814,0.00133693,0.00133693,0.00133693
9,1837.46,1.17164,1.09734,1.19717,0.25498,0.32538,0.20633,0.06394,2.37267,2.49312,1.86916,0.00128978,0.00128978,0.00128978
10,2041.35,1.15814,1.07313,1.18627,0.3249,0.30841,0.24409,0.08117,2.29403,2.29807,1.84619,0.00124263,0.00124263,0.00124263
11,2241.57,1.13196,1.03931,1.1723,0.3266,0.3702,0.27515,0.09303,2.25625,2.12931,1.82344,0.00119548,0.00119548,0.00119548
12,2442.32,1.13085,1.02194,1.17058,0.40642,0.38414,0.33006,0.1153,2.20784,2.0603,1.86017,0.00114832,0.00114832,0.00114832
13,2644.14,1.12122,1.01939,1.16644,0.36796,0.37497,0.30891,0.11018,2.20383,2.09161,1.81757,0.00110117,0.00110117,0.00110117
14,2844.79,1.11564,1.00534,1.16199,0.40936,0.40735,0.34917,0.12292,2.19582,1.94449,1.75225,0.00105402,0.00105402,0.00105402
15,3047.19,1.10327,0.97612,1.15359,0.37953,0.39238,0.33003,0.11946,2.13059,2.02465,1.80432,0.00100687,0.00100687,0.00100687
16,3247.37,1.08444,0.95759,1.1427,0.3606,0.39995,0.31502,0.1076,2.22173,2.12096,1.77178,0.000959716,0.000959716,0.000959716
17,3448.88,1.07834,0.94586,1.14187,0.38182,0.34434,0.30654,0.10874,2.24643,2.04544,1.79167,0.000912563,0.000912563,0.000912563
18,3648.18,1.07064,0.93061,1.13385,0.42345,0.4359,0.38888,0.14524,2.13493,1.91703,1.71671,0.000865411,0.000865411,0.000865411
19,3849.72,1.069,0.93531,1.1347,0.41244,0.40233,0.35024,0.12362,2.17331,1.97249,1.7571,0.000818259,0.000818259,0.000818259
20,4049.86,1.07278,0.92494,1.13656,0.43047,0.39981,0.37322,0.13644,2.15889,1.9054,1.7586,0.000771107,0.000771107,0.000771107
21,4252.29,1.04377,0.89884,1.11871,0.49386,0.41433,0.41778,0.1555,2.11976,1.84461,1.71249,0.000723954,0.000723954,0.000723954
22,4452.65,1.04702,0.8963,1.12253,0.4355,0.4421,0.4051,0.1518,2.09515,1.86182,1.7278,0.000676802,0.000676802,0.000676802
23,4655.33,1.04008,0.8781,1.11786,0.45678,0.4452,0.41359,0.15719,2.10031,1.8188,1.74739,0.00062965,0.00062965,0.00062965
24,4857.17,1.033,0.87276,1.11686,0.4628,0.45293,0.42578,0.16164,2.103,1.7909,1.71122,0.000582497,0.000582497,0.000582497
25,5058.34,1.03679,0.86015,1.11352,0.45481,0.44972,0.41253,0.15167,2.11467,1.79655,1.69657,0.000535345,0.000535345,0.000535345
26,5252.31,1.00334,0.81951,1.10199,0.47203,0.46094,0.4331,0.16129,2.11209,1.79827,1.74538,0.000488193,0.000488193,0.000488193
27,5444.54,0.98956,0.7887,1.09346,0.49341,0.47231,0.4449,0.16713,2.10776,1.75482,1.71364,0.000441041,0.000441041,0.000441041
28,5635.79,0.98101,0.7727,1.0885,0.48357,0.4669,0.43989,0.16494,2.1165,1.74597,1.69892,0.000393888,0.000393888,0.000393888
29,5825.14,0.97837,0.76075,1.08447,0.50397,0.48079,0.47125,0.18092,2.08673,1.70345,1.696,0.000346736,0.000346736,0.000346736
30,6014.22,0.96557,0.74769,1.07724,0.50229,0.4805,0.46718,0.17937,2.08217,1.72214,1.69473,0.000299584,0.000299584,0.000299584
31,6204.03,0.95388,0.72731,1.07415,0.52006,0.48513,0.48036,0.18775,2.08918,1.69083,1.69589,0.000252431,0.000252431,0.000252431
32,6393.66,0.9442,0.71658,1.06454,0.52351,0.48007,0.47977,0.18646,2.09281,1.67557,1.68349,0.000205279,0.000205279,0.000205279
33,6582.11,0.93801,0.70688,1.06412,0.52043,0.48731,0.48309,0.18852,2.0904,1.67569,1.7011,0.000158127,0.000158127,0.000158127
34,6771.23,0.92221,0.69099,1.0579,0.53637,0.48735,0.48221,0.18855,2.0908,1.67105,1.69589,0.000110975,0.000110975,0.000110975
35,6959.45,0.92302,0.68027,1.05556,0.53602,0.5051,0.49624,0.19342,2.07961,1.65927,1.69055,6.38223e-05,6.38223e-05,6.38223e-05
